time,id,counter
14:06:53.388,1,1
14:06:53.388,2,1
14:06:53.388,3,1
14:06:53.389,4,1
14:06:53.389,5,1
14:06:53.389,1,2
14:06:53.389,2,2
14:06:53.389,3,2
14:06:53.389,4,2
14:06:53.389,5,2
14:06:53.390,1,3
14:06:53.390,2,3
14:06:53.390,3,3
14:06:53.390,4,3
14:06:53.390,5,3
